"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"1051100203","","","","","","","","02/16/2012","US BANK","6850374155"
"1051100213","","","","","","","","02/21/2012","US BANK","6850373979"
"1051100215","","","","","","","","02/08/2012","FLAGSTAR","503423521"
"1051100217","","","","","","","","02/16/2012","US BANK","6850373971"
"1051100219","","","","","","","","02/13/2012","PENNYMAC","800010251"
"1051200000","","","","","","","","02/14/2012","US BANK","6850374136"
"1051200002","","","","","","","","02/22/2012","FLAGSTAR","503438834"
"1051200009","","","","","","","","02/23/2012","FLAGSTAR","503444920"
"1061100037","","","","","","","","02/24/2012","AFFILIATED MTG CO","3000083848"
"1061100495","","","","","","","","02/24/2012","PENNYMAC","8000011878"
"1061100555","","","","","","","","02/06/2012","FLAGSTAR","503396398"
"1061100652","","","","","","","","02/08/2012","PENNYMAC","8000009915"
"1061100689","","","","","","","","02/02/2012","FRANKLIN AMERICAN","-+1701446839"
"1061100742","","","","","","","","02/03/2012","US BANK","6850364067"
"1061100744","","","","","","","","02/21/2012","FIRST MTG CORP","401146"
"1061100754","","","","","","","","02/09/2012","FLAGSTAR","503428807"
"1061100795","","","","","","","","02/16/2012","JP MORGAN","1157619612"
"1061100810","","","","","","","","02/03/2012","CHFA-2ND","CH136874"
"1061100824","","","","","","","","02/03/2012","CHFA-2ND","CH-137001"
"1061100838","","","","","","","","02/03/2012","FLAGSTAR","503397771"
"1061100849","","","","","","","","02/10/2012","CHFA-2ND","CH-137008"
"1061100851","","","","","","","","02/03/2012","CHFA-2ND","CH-137004"
"1061100853","","","","","","","","02/10/2012","CHFA-2ND","CH-137002"
"1061100855","","","","","","","","02/21/2012","PENNYMAC","80000122767"
"1061100856","","","","","","","","02/17/2012","CHFA-2ND","CH-137010"
"1061100859","","","","","","","","02/10/2012","CHFA-2ND","CH137007"
"1061100881","","","","","","","","02/09/2012","FLAGSTAR","503400762"
"1061100891","","","","","","","","02/07/2012","AFFILIATED MTG CO","3000080783"
"1061100918","","","","","","","","02/06/2012","GMAC BANK","603299486"
"1061100930","","","","","","","","02/16/2012","US BANK","6850375102"
"1061100931","","","","","","","","02/13/2012","PENNYMAC","8000010542"
"1061100933","","","","","","","","02/14/2012","US BANK","6850372565"
"1061100939","","","","","","","","02/23/2012","GMAC BANK","603304511"
"1061100943","","","","","","","","02/23/2012","FLAGSTAR","503442788"
"1061100947","","","","","","","","02/14/2012","PENNYMAC","8000011549"
"1061100953","","","","","","","","02/21/2012","FLAGSTAR","503413687"
"1061100959","","","","","","","","02/10/2012","PENNYMAC","8000011505"
"1061100971","","","","","","","","02/14/2012","PENNYMAC","8000011462"
"1061100979","","","","","","","","02/22/2012","PENNYMAC","8000011886"
"1061100980","","","","","","","","02/27/2012","US BANK","6850377007"
"1061200003","","","","","","","","02/14/2012","GMAC BANK","603304195"
"1061200005","","","","","","","","02/15/2012","PENNYMAC","8000011630"
"1061200006","","","","","","","","02/22/2012","PENNYMAC","8000012263"
"1061200013","","","","","","","","02/15/2012","FLAGSTAR","503430265"
"1111100118","","","","","","","","02/02/2012","US BANK","6850367455"
"1111100119","","","","","","","","02/07/2012","FLAGSTAR","503408780"
"1111200000","","","","","","","","02/16/2012","PENNYMAC","8000011481"
"1111200001","","","","","","","","02/21/2012","FLAGSTAR","503440262"
"1111200006","","","","","","","","02/27/2012","FLAGSTAR","503447940"
"1211100235","","","","","","","","02/10/2012","CHFA-2ND","CH-136908"
"1211100276","","","","","","","","02/17/2012","CHFA-2ND","CH-137270"
"1211100288","","","","","","","","02/02/2012","FLAGSTAR","503392007"
"1211100294","","","","","","","","02/16/2012","FRANKLIN AMERICAN","1701450098"
"1211100306","","","","","","","","02/03/2012","PENNYMAC","8000010250"
"1211100311","","","","","","","","02/16/2012","US BANK","6850369490"
"1211100314","","","","","","","","02/14/2012","GMAC BANK","603298635"
"1211100317","","","","","","","","02/23/2012","PENNYMAC","8000011786"
"1211100318","","","","","","","","02/14/2012","US BANK","6850360219"
"1211100319","","","","","","","","02/01/2012","FRANKLIN AMERICAN","1701432018"
"1211100322","","","","","","","","02/02/2012","US BANK","6850366557"
"1211100324","","","","","","","","02/27/2012","PENNYMAC","8000012158"
"1211200003","","","","","","","","02/16/2012","PENNYMAC","8000011642"
"1381100046","","","","","","","","02/13/2012","GMAC BANK","603128675"
"1381100060","","","","","","","","02/06/2012","US BANK","6850345074"
"1381100086","","","","","","","","02/07/2012","US BANK","6850346782"
"1381100105","","","","","","","","02/07/2012","FLAGSTAR","503399694"
"1381100125","","","","","","","","02/23/2012","US BANK","6850372560"
"1381100145","","","","","","","","02/07/2012","PENNYMAC","800010328"
"1381100146","","","","","","","","02/08/2012","PENNYMAC","8000011463"
"1381100147","","","","","","","","02/27/2012","US BANK","6850362561"
"1381100150","","","","","","","","02/10/2012","PENNYMAC","8000010821"
"1381100152","","","","","","","","02/02/2012","FLAGSTAR","503398841"
"1381100157","","","","","","","","02/17/2012","PENNYMAC","8000011564"
"1381100164","","","","","","","","02/23/2012","PENNYMAC","8000011025"
"1381200003","","","","","","","","02/21/2012","PENNYMAC","8000012741"
"1401100064","","","","","","","","02/17/2012","FLAGSTAR","503446153"
"1441100112","","","","","","","","02/07/2012","JP MORGAN","1157564361"
"1441100132","","","","","","","","02/23/2012","US BANK","6850363188"
"1441100142","","","","","","","","02/23/2012","US BANK","6850374127"
"1441100143","","","","","","","","02/08/2012","FLAGSTAR","503351752"
"1441100144","","","","","","","","02/21/2012","US BANK","6850373030"
"1441100146","","","","","","","","02/06/2012","GMAC BANK","603304191"
