"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Invoice Number","Loan No","Note Amount","Funding Clearing","Impounds Payable","MIP","Prepaid Interest","Appraisal Fee","Appraisal Review Fee","Appraisal Review Fee - APR","Lender Inspection Fee","Refund/Credit Appraisal","Reinsection Fee","Buydown Fee","EEM Repair Holdback","HUD Repair Holdback","Rural Housing Funding Fee","Loan Origination Fee","Loan Discount Fee","Loan Level Price Adjustments","Credit Report Fee","Document Preparation Fee Lender","Redraw Fee","Document Fee Lender","Funding Fee Lender","Processing Fee","Processing Fee - Bond","Processing Fee Credit","Underwriting Fee","Refund Lock In Deposit","Flood Certification Fee","Tax Related Service Fee","Tax Service Fee Govt","Wire Transfer Fee Lender","Engineer's Cert","VOE/VOD","Rate Lock Extension Fee","CalStrs Audit Fee","CalStrs Loan Setup","NHF Extension Fee","MCC Application Fee","Lender Credit","Oregon Housing Cash Advance","Interest Rate Lock Fee Credit","Platinum Down Pmt Asst","FHA 30 Days Interest","Tolerance Cure Fee"
"0","","","","","","","1051200007","270000.00","","0.00","0.00","885.94","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1350.00","4387.50","0.00","0.00","350.00","0.00","350.00","0.00","595.00","595.00","0.00","295.00","0.00","10.00","85.00","85.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1061200034","112181.00","","608.75","1110.71","-52.25","400.00","0.00","0.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","1110.71","0.00","0.00","0.00","390.00","0.00","390.00","0.00","495.00","495.00","0.00","225.00","0.00","10.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1211200027","160817.00","","1052.79","1592.25","-68.29","465.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1592.25","0.00","0.00","121.30","550.00","0.00","550.00","600.00","550.00","550.00","0.00","550.00","0.00","10.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1211200028","4950.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1481200031","234000.00","","981.29","0.00","680.06","375.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2340.00","0.00","0.00","0.00","380.00","0.00","380.00","250.00","495.00","495.00","0.00","395.00","0.00","10.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-335.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1591200004","115008.00","","452.25","1138.70","-53.57","400.00","0.00","0.00","0.00","0.00","125.00","0.00","0.00","0.00","0.00","1138.70","0.00","0.00","183.87","150.00","0.00","150.00","0.00","795.00","795.00","0.00","445.00","0.00","10.00","0.00","0.00","75.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1681200012","247500.00","","667.76","0.00","-118.66","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2475.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","948.00","948.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1761100075","203200.00","","0.00","0.00","-93.13","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2032.00","0.00","0.00","16.60","325.00","0.00","325.00","0.00","495.00","495.00","0.00","500.00","0.00","10.00","80.00","80.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1821200005","218000.00","","1263.06","0.00","-102.94","425.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1907.50","0.00","0.00","42.15","250.00","0.00","250.00","0.00","1050.00","1050.00","0.00","495.00","0.00","10.00","81.00","81.00","25.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1821200011","219296.00","","1032.44","2171.25","-108.15","375.00","100.00","0.00","0.00","-25.00","0.00","0.00","0.00","0.00","0.00","2171.25","0.00","0.00","75.20","250.00","0.00","250.00","0.00","1050.00","1050.00","0.00","495.00","0.00","10.00","81.00","81.00","25.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","1821200012","6750.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","2561200010","196879.00","","768.00","1949.30","-80.91","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1949.30","0.00","0.00","35.65","0.00","0.00","0.00","0.00","1775.00","1775.00","0.00","0.00","0.00","10.00","80.00","80.00","55.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","2611200000","225000.00","","1321.85","0.00","-95.55","350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.00","418.00","0.00","418.00","0.00","482.00","482.00","0.00","1000.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1418.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3241200003","361000.00","","0.00","0.00","-157.85","385.00","0.00","0.00","0.00","-15.00","0.00","0.00","0.00","0.00","0.00","3610.00","0.00","0.00","39.00","350.00","0.00","350.00","75.00","475.00","475.00","0.00","650.00","0.00","10.00","75.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3610.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3471200006","460000.00","","1917.61","0.00","-220.55","475.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","250.00","0.00","0.00","18.50","195.00","0.00","195.00","625.00","695.00","695.00","0.00","595.00","0.00","10.00","0.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2185.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3631200007","140000.00","","0.00","0.00","-60.28","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1400.00","0.00","0.00","0.00","350.00","0.00","350.00","0.00","675.00","675.00","0.00","100.00","0.00","10.00","85.00","85.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3871200016","201400.00","","784.69","0.00","-89.29","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1007.00","0.00","20.00","195.00","0.00","195.00","0.00","595.00","595.00","0.00","695.00","0.00","10.00","84.00","84.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3911200004","216558.00","","865.89","4558.00","-94.93","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.40","200.00","0.00","200.00","0.00","585.00","585.00","0.00","795.00","0.00","10.00","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","","","","3921200009","207000.00","","1206.49","0.00","-87.90","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1552.50","0.00","0.00","195.00","0.00","195.00","0.00","595.00","595.00","0.00","695.00","0.00","10.00","84.00","84.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
