"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Paid/Due Date","Invoice Number","Loan No","Hedge Whole Loan Revenue"
"0","","","","","","","1061200042","-5263.11"
"0","","","","","","","1111200012","-4000.00"
"0","","","","","","","1381100143","-1375.00"
"0","","","","","","","1601200010","0.00"
"0","","","","","","","1761200005","-5200.00"
"0","","","","","","","2001200000","-3306.88"
"0","","","","","","","2601200023","0.00"
"0","","","","","","","2601200024","-8710.88"
"0","","","","","","","3021200004","-3116.25"
"0","","","","","","","3071200004","-4944.14"
"0","","","","","","","3381100209","0.00"
"0","","","","","","","3491200004","-4016.39"
"0","","","","","","","3791200005","-5306.25"
"0","","","","","","","3871200008","-5005.65"
"0","","","","","","","3931200010","-6346.00"
"0","","","","","","","6611200003","0.00"
"0","","","","","","","6631200006","-5998.13"
