"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Paid/Due Date","Invoice Number","Loan No","Hedge Whole Loan Revenue","Secondary Investor Receivable"
"0","","","","06/03/2014","","","1051400029","0.00","0.00"
"0","","","","06/04/2014","","","1061400179","2781.79","2781.79"
"0","","","","06/06/2014","","","1061400194","0.00","0.00"
"0","","","","06/04/2014","","","1061400202","2488.91","2488.91"
"0","","","","06/02/2014","","","1061400222","892.04","892.04"
"0","","","","06/06/2014","","","1211400036","-17423.54","-17423.54"
"0","","","","06/06/2014","","","1211400045","0.00","0.00"
"0","","","","06/04/2014","","","1381400047","0.00","0.00"
"0","","","","06/05/2014","","","1381400049","0.00","0.00"
"0","","","","06/06/2014","","","1401400018","-5000.00","-5000.00"
"0","","","","06/05/2014","","","1441400045","2040.49","2040.49"
"0","","","","06/02/2014","","","1451400029","1432.14","1432.14"
"0","","","","06/06/2014","","","1451400035","-7686.79","-7686.79"
"0","","","","06/06/2014","","","1481400165","-14593.28","-14593.28"
"0","","","","06/05/2014","","","1481400179","1718.30","1718.30"
"0","","","","06/05/2014","","","1481400180","0.00","0.00"
"0","","","","06/06/2014","","","1481400182","-13660.50","-13660.50"
"0","","","","06/06/2014","","","1481400184","0.00","0.00"
"0","","","","06/06/2014","","","1591400050","0.00","0.00"
"0","","","","06/02/2014","","","1591400074","0.00","0.00"
"0","","","","06/06/2014","","","1591400086","0.00","0.00"
"0","","","","06/04/2014","","","1601400092","0.00","0.00"
"0","","","","06/02/2014","","","1601400180","0.00","0.00"
"0","","","","06/02/2014","","","1821400052","0.00","0.00"
"0","","","","06/02/2014","","","1921400084","1464.48","1464.48"
"0","","","","06/02/2014","","","1921400085","0.00","0.00"
"0","","","","06/06/2014","","","1921400090","-5075.00","-5075.00"
"0","","","","06/04/2014","","","1921400100","2166.95","2166.95"
"0","","","","06/05/2014","","","1921400107","3525.55","3525.55"
"0","","","","06/04/2014","","","2501400019","0.00","0.00"
"0","","","","06/04/2014","","","2541400010","1068.28","1068.28"
"0","","","","06/06/2014","","","2561400019","-18852.24","-18852.24"
"0","","","","06/06/2014","","","2561400020","-10702.81","-10702.81"
"0","","","","06/06/2014","","","2561400022","-5307.19","-5307.19"
"0","","","","06/04/2014","","","3061400205","2476.12","2476.12"
"0","","","","06/05/2014","","","3071400022","2379.39","2379.39"
"0","","","","06/06/2014","","","3211400031","0.00","0.00"
"0","","","","06/03/2014","","","3211400035","1890.52","1890.52"
"0","","","","06/03/2014","","","3381400092","0.00","0.00"
"0","","","","06/02/2014","","","3381400094","0.00","0.00"
"0","","","","06/06/2014","","","3481400029","-9180.60","-9180.60"
"0","","","","06/06/2014","","","3481400030","0.00","0.00"
"0","","","","06/03/2014","","","3491400062","0.00","0.00"
"0","","","","06/04/2014","","","3491400067","2384.54","2384.54"
"0","","","","06/04/2014","","","3491400086","199.70","199.70"
"0","","","","06/05/2014","","","3491400093","911.23","911.23"
"0","","","","06/06/2014","","","3491400095","-4650.25","-4650.25"
"0","","","","06/03/2014","","","3621400103","4295.20","4295.20"
"0","","","","06/04/2014","","","3621400109","0.00","0.00"
"0","","","","06/05/2014","","","3621400133","1483.88","1483.88"
"0","","","","06/02/2014","","","3661400031","0.00","0.00"
"0","","","","06/02/2014","","","3661400050","0.00","0.00"
"0","","","","06/02/2014","","","3661400051","0.00","0.00"
"0","","","","06/03/2014","","","3681400130","0.00","0.00"
"0","","","","06/05/2014","","","3681400137","0.00","0.00"
"0","","","","06/04/2014","","","3681400156","878.63","878.63"
"0","","","","06/02/2014","","","3711400032","0.00","0.00"
"0","","","","06/06/2014","","","3711400035","-5099.25","-5099.25"
"0","","","","06/06/2014","","","3741400017","-8960.00","-8960.00"
"0","","","","06/06/2014","","","3791400053","0.00","0.00"
"0","","","","06/03/2014","","","3791400093","375.16","375.16"
"0","","","","06/04/2014","","","3791400103","-628.97","-628.97"
"0","","","","06/05/2014","","","3831400009","0.00","0.00"
"0","","","","06/05/2014","","","3841400003","0.00","0.00"
"0","","","","06/02/2014","","","3881400018","4287.50","4287.50"
"0","","","","06/02/2014","","","3911400038","5252.60","5252.60"
"0","","","","06/04/2014","","","3911400054","1179.20","1179.20"
"0","","","","06/02/2014","","","3921400073","0.00","0.00"
"0","","","","06/03/2014","","","3921400076","7120.08","7120.08"
"0","","","","06/04/2014","","","3991400045","0.00","0.00"
"0","","","","06/04/2014","","","3991400046","0.00","0.00"
"0","","","","06/05/2014","","","6571400005","3759.89","3759.89"
"0","","","","06/02/2014","","","6571400014","2280.84","2280.84"
"0","","","","06/02/2014","","","6651400002","0.00","0.00"
