"Fixed","Blank1","Blank2","Blank3","Date Deposited","Blank4","Blank5","Loan Number","Principal Pmt","Interest Pmt","Impounds Pmt","Curtailment Payable","Buydown Amt","Late Pay Amt"
"0","","","","06/03/2014","","","1061400052","214.59","776.38","590.48","0.00","0.00",""
"0","","","","06/03/2014","","","1061400120","263.20","712.38","538.33","0.00","0.00",""
"0","","","","06/06/2014","","","1061400125","268.80","621.86","492.34","0.00","0.00",""
"0","","","","06/04/2014","","","1061400135","691.58","924.06","483.80","0.00","0.00",""
"0","","","","06/02/2014","","","1061400141","217.03","682.81","337.96","0.00","0.00",""
"0","","","","06/02/2014","","","1211400028","319.47","821.24","708.00","0.00","0.00",""
"0","","","","06/03/2014","","","1381400032","682.29","1753.91","622.21","0.00","0.00",""
"0","","","","06/02/2014","","","1401400010","413.85","1505.47","417.26","0.00","0.00",""
"0","","","","06/02/2014","","","1481400123","381.43","1086.21","698.43","0.00","0.00",""
"0","","","","06/02/2014","","","1481400132","370.61","1165.99","640.45","0.00","0.00",""
"0","","","","06/03/2014","","","1591400021","95.38","315.10","195.06","0.00","0.00",""
"0","","","","06/02/2014","","","1591400035","302.87","862.64","266.49","0.00","0.00",""
"0","","","","06/04/2014","","","1591400036","129.71","408.20","258.09","0.00","0.00",""
"0","","","","06/04/2014","","","1821400026","416.50","1127.27","745.15","0.00","0.00",""
"0","","","","06/06/2014","","","1921400078","254.73","883.33","312.42","0.00","0.00",""
"0","","","","06/04/2014","","","2561400010","256.99","849.06","468.04","0.00","0.00",""
"0","","","","06/02/2014","","","2571400013","422.18","1535.79","212.76","0.00","0.00",""
"0","","","","06/05/2014","","","3071400011","166.33","427.60","308.29","0.00","0.00",""
"0","","","","06/02/2014","","","3071400017","114.70","437.50","186.20","0.00","0.00",""
"0","","","","06/02/2014","","","3281400006","250.26","643.34","484.18","0.00","0.00",""
"0","","","","06/03/2014","","","3281400020","279.17","795.00","431.59","53.71","0.00",""
"0","","","","06/06/2014","","","3481400014","272.27","732.72","514.42","0.00","0.00",""
"0","","","","06/02/2014","","","3491400057","140.69","361.66","285.41","0.00","0.00",""
"0","","","","06/02/2014","","","3621400067","307.40","1015.62","476.59","0.00","0.00",""
"0","","","","06/04/2014","","","3621400070","380.40","1196.80","860.37","0.00","0.00",""
"0","","","","06/06/2014","","","3681400140","963.19","2606.95","791.00","38.86","0.00",""
"0","","","","06/06/2014","","","3791400022","359.65","1188.28","0.00","0.00","0.00",""
"0","","","","06/02/2014","","","3791400055","169.76","647.50","228.71","0.00","0.00",""
"0","","","","06/06/2014","","","3841400002","432.89","1296.16","692.75","0.00","0.00",""
"0","","","","06/05/2014","","","3871400012","415.58","1068.29","477.81","0.00","0.00",""
"0","","","","06/05/2014","","","3991400028","180.56","464.15","309.18","0.00","0.00",""
"0","","","","06/04/2014","","","3991400035","642.04","1259.69","646.00","0.00","0.00",""
