"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Program Description","Loan No","Principal Purchased","Purchased Clearing","Gain on Sale","Investor Fee","Tax Fee","Escrow Balance","Interest","Buydown","Flood Cert","Investor Underwriting","203K Deduction","Investor Late Fee","Other Investor Fee","Cure Adjustment","Corp Income","Settlement Pmt","Appraisal Waiver Fee","Access 2nd Payment"
"0","","","","06/06/2014","","","1051400046","732000.00","749539.18","17743.68","-300.00","-87.00","0.00","457.50","0.00","0.00","-350.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1051400047","247000.00","257712.64","12209.21","-270.00","-85.00","-1309.20","92.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1051400053","365000.00","377107.55","15643.90","-375.00","0.00","-3408.71","172.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1061400024","144400.00","148611.45","5162.30","-275.00","-90.00","-751.11","95.26","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1061400109","125000.00","128177.88","5163.75","-325.00","-90.00","-1689.05","48.18","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1061400189","185576.00","193559.73","9575.72","-275.00","-90.00","-1255.75","-41.24","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1061400193","162993.00","166488.35","4889.79","-350.00","-85.00","-1141.97","107.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1061400195","285000.00","296229.44","13013.10","-325.00","-90.00","-1559.69","121.03","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1061400227","4980.00","4810.71","0.00","-250.00","0.00","0.00","5.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1111400022","201435.00","214305.39","14031.96","-275.00","-85.00","-975.91","99.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1111400023","317500.00","326578.32","13496.93","-345.00","0.00","-3473.92","119.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","-793.75","0.00","0.00"
"0","","","","06/06/2014","","","1111400025","216015.00","230750.86","15974.31","-375.00","0.00","-1042.02","103.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","1211400037","245471.00","260669.90","16802.49","-275.00","-90.00","-1368.25","59.66","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1211400038","7500.00","7500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","1381400030","307500.00","311065.45","5212.12","-275.00","-90.00","-1426.41","74.74","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1381400038","161000.00","167916.68","7253.05","-275.00","-90.00","0.00","-41.37","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1381400040","303000.00","314275.24","13104.75","-275.00","-90.00","-1739.67","205.16","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1381400041","168000.00","172363.19","5801.04","-375.00","0.00","-1228.85","91.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","1401400006","167400.00","171991.66","5694.95","-215.00","-80.00","-925.15","41.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","1441400020","137464.00","145719.17","9203.21","-275.00","-90.00","-685.50","32.46","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1441400032","65450.00","68205.87","3328.13","-275.00","-90.00","-329.53","52.27","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1451400027","139428.00","146958.25","8498.14","-275.00","-90.00","-639.97","-32.92","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1451400032","4260.00","4260.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1481400132","294195.39","295516.86","2941.95","-275.00","-85.00","-1374.30","38.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","1481400146","350885.00","375294.74","26190.06","-275.00","-85.00","-1668.36","173.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1481400176","274928.00","292023.90","18818.82","-275.00","-90.00","-1361.10","-66.82","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","1591400030","168547.00","177603.95","10104.39","-275.00","-90.00","-792.24","39.80","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1591400036","102968.29","103182.28","1029.68","-275.00","-85.00","-571.45","40.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1591400054","191250.00","199360.91","9801.56","-270.00","-85.00","-1436.55","25.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1601400045","376000.00","389963.10","16675.60","-270.00","-85.00","-2573.50","141.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1671400021","135000.00","139594.06","4826.25","-270.00","-85.00","0.00","47.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1671400028","524500.00","533789.49","12058.26","-325.00","-90.00","-2625.92","202.15","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1671400032","344000.00","348965.63","8097.76","-375.00","0.00","-2731.80","-100.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1761400011","206000.00","215646.07","10223.78","-245.00","0.00","0.00","107.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","-515.00","0.00","0.00"
"0","","","","06/02/2014","","","1921400072","188000.00","194552.68","6820.64","-370.00","0.00","0.00","27.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","2501400020","177721.00","188340.48","11898.42","-275.00","-90.00","-940.74","-43.20","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","2501400021","5430.00","5430.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","2571400010","176739.00","186648.40","10984.33","-275.00","-90.00","-842.53","62.60","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","2591400007","348570.00","364103.74","17815.41","-325.00","-90.00","-2013.07","76.40","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","2591400010","350594.10","342203.54","16200.96","-265.00","-80.00","-2169.05","42.03","0.00","0.00","0.00","-22194.50","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","2591400014","408495.00","432240.78","25612.64","-275.00","-85.00","-1475.54","-106.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","2591400019","157102.00","164386.52","8327.98","-325.00","-90.00","-750.11","51.65","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3021400031","201286.00","211684.14","11946.32","-275.00","-90.00","-1365.01","111.83","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3031400009","330000.00","343829.14","16500.00","-245.00","0.00","-1836.28","160.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","-825.00","0.00","0.00"
"0","","","","06/02/2014","","","3121400000","299500.00","311746.56","12504.12","-275.00","-90.00","0.00","37.44","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3211400015","189000.00","194738.60","7361.55","-275.00","-90.00","-1400.79","72.84","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3211400029","156750.00","160360.17","5094.38","-270.00","-85.00","-725.44","21.23","0.00","0.00","-500.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3241400008","180000.00","186694.03","6908.40","-270.00","-85.00","0.00","65.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3261300095","215000.00","221198.92","7019.75","-275.00","-90.00","-608.69","82.86","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3471400021","245160.00","258702.37","14930.24","-275.00","-90.00","-1177.14","84.27","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3491400056","90300.00","92031.80","2876.06","-275.00","-90.00","-866.82","17.56","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3491400085","108989.00","114014.45","5738.27","-275.00","-90.00","-464.75","46.93","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3531400011","333500.00","344894.05","13696.85","-325.00","-90.00","-2124.55","166.75","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3571400000","417000.00","433542.55","19027.71","-265.00","-85.00","-2465.79","260.63","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3621400070","301969.60","302458.03","3019.70","-275.00","-85.00","-2445.49","199.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3621400078","133241.00","141524.58","9305.55","-270.00","-85.00","-784.16","47.19","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3621400082","400000.00","415336.06","17900.00","-275.00","-85.00","-2377.57","98.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3621400105","366715.00","388601.24","24221.53","-275.00","-90.00","-2126.88","86.59","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3621400111","225600.00","233596.84","10045.97","-470.00","-69.00","-1672.08","86.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3631400010","200000.00","206536.79","9210.00","-325.00","-90.00","-2378.21","50.00","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3661400024","77838.00","81667.09","4563.64","-275.00","-85.00","-468.75","19.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3711400003","254000.00","266677.11","14516.10","-275.00","-90.00","-1644.53","100.54","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3711400031","417000.00","434494.37","19836.69","-375.00","0.00","-2245.03","202.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3791400050","8250.00","8250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3791400071","552311.00","579088.21","30134.09","-275.00","-85.00","-3139.97","68.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3791400077","284747.00","302358.05","19485.23","-275.00","-85.00","-1440.95","136.52","0.00","0.00","0.00","0.00","-284.75","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3841400005","221665.00","235827.57","15441.19","-275.00","-85.00","-1048.27","54.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3871400028","315360.00","323318.12","11545.33","-345.00","0.00","-2643.79","114.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","-788.40","0.00","0.00"
"0","","","","06/03/2014","","","3881400020","240000.00","254084.33","14316.00","-275.00","-90.00","0.00","63.33","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3911400028","382500.00","403598.46","23619.37","-275.00","-90.00","-2449.04","223.13","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3911400049","460000.00","470817.18","15571.00","-375.00","0.00","-4572.01","118.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3911400053","508000.00","527042.95","19131.28","-375.00","0.00","0.00","211.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","3921400069","540000.00","550993.10","10875.60","-215.00","-80.00","0.00","337.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","3991400028","130873.44","131267.53","1308.73","-275.00","-85.00","-691.44","61.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","3991400052","268000.00","276442.35","10417.16","-270.00","-85.00","-1729.24","34.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","6571400012","284747.00","304359.65","20849.18","-275.00","-85.00","-1019.78","68.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","6571400019","97500.00","102936.65","5692.05","-370.00","0.00","0.00","39.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","6631400012","200000.00","206286.43","8800.00","-275.00","-90.00","-2244.96","26.39","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","6631400016","231000.00","238296.09","9690.45","-275.00","-90.00","-2218.07","118.71","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/02/2014","","","6651400000","291000.00","301970.18","12882.57","-245.00","0.00","-1051.27","36.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","-727.50","0.00","0.00"
"0","","","","06/04/2014","","","6651400003","392715.00","421430.68","29736.38","-275.00","-85.00","-876.92","141.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
"0","","","","06/05/2014","","","6671400003","207920.00","216151.34","10148.58","-325.00","-90.00","-1679.09","106.85","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00"
