"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Invoice Number","Loan No","Secondary Gain Receivable","Branch Sale Price","Service Release Premium","Branch Marketing Gain","Corporate Marketing Gain","Secondary Holdback"
"0","","","","","","","1061200042","0.00","2046.77","2631.56","584.79","0.00","0.00"
"0","","","","","","","1111200012","0.00","1000.00","2500.00","500.00","0.00","0.00"
"0","","","","","","","1381100143","0.00","-2750.00","3437.50","687.50","0.00","0.00"
"0","","","","","","","1601200010","4217.25","-3539.79","3267.50","0.00","544.58","3944.96"
"0","","","","","","","1761200005","0.00","1300.00","3250.00","0.00","650.00","0.00"
"0","","","","","","","2001200000","0.00","254.38","2543.75","508.75","0.00","0.00"
"0","","","","","","","2601200023","9463.20","4200.00","3000.00","0.00","1200.00","1063.20"
"0","","","","","","","2601200024","0.00","4194.13","3226.25","0.00","1290.50","0.00"
"0","","","","","","","3021200004","0.00","-1038.75","3462.50","692.50","0.00","0.00"
"0","","","","","","","3071200004","0.00","1836.40","2542.70","0.00","565.05","0.00"
"0","","","","","","","3381100209","9672.67","2457.49","4423.48","983.00","0.00","1808.71"
"0","","","","","","","3491200004","0.00","1338.80","2190.76","0.00","486.84","0.00"
"0","","","","","","","3791200005","0.00","707.50","3537.50","0.00","1061.25","0.00"
"0","","","","","","","3871200008","0.00","1472.25","2944.50","588.90","0.00","0.00"
"0","","","","","","","3931200010","0.00","1586.50","3966.25","0.00","793.25","0.00"
"0","","","","","","","6611200003","7187.04","465.00","4650.00","0.00","1395.00","677.04"
"0","","","","","","","6631200006","0.00","1199.63","3998.75","799.75","0.00","0.00"
