"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Invoice Number","Loan No","Secondary Gain Receivable","Branch Sale Price","Service Release Premium","Branch Marketing Gain","Corporate Marketing Gain","Secondary Holdback"
"0","","","","06/03/2014","","","1051400029","19400.00","7275.00","9700.00","2425.00","0.00","0.00"
"0","","","","06/04/2014","","","1061400179","8627.12","2029.91","5582.25","1014.96","0.00","0.00"
"0","","","","06/06/2014","","","1061400194","1620.11","0.00","1620.11","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1061400202","6540.00","2180.00","3815.00","545.00","0.00","0.00"
"0","","","","06/02/2014","","","1061400222","10444.83","3105.22","6210.44","1129.17","0.00","0.00"
"0","","","","06/06/2014","","","1211400036","17423.55","6637.54","9126.62","1659.39","0.00","0.00"
"0","","","","06/06/2014","","","1211400045","31892.25","11299.69","16572.88","3013.25","0.00","1006.43"
"0","","","","06/04/2014","","","1381400047","27991.71","8929.18","14031.57","2551.20","0.00","2479.76"
"0","","","","06/05/2014","","","1381400049","1433.76","-9280.00","8120.00","1160.00","0.00","1433.76"
"0","","","","06/06/2014","","","1401400018","5000.00","0.00","4375.00","625.00","0.00","0.00"
"0","","","","06/05/2014","","","1441400045","6635.10","1561.20","4293.30","0.00","780.60","0.00"
"0","","","","06/02/2014","","","1451400029","3746.88","1040.80","2289.76","0.00","416.32","0.00"
"0","","","","06/06/2014","","","1451400035","7686.79","3038.96","3932.78","0.00","715.05","0.00"
"0","","","","06/06/2014","","","1481400165","14593.29","5339.01","7830.54","1423.74","0.00","0.00"
"0","","","","06/05/2014","","","1481400179","14777.38","5842.22","7560.52","1374.64","0.00","0.00"
"0","","","","06/05/2014","","","1481400180","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1481400182","13660.50","5204.00","7155.50","1301.00","0.00","0.00"
"0","","","","06/06/2014","","","1481400184","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1591400050","4271.19","2847.46","1423.73","0.00","0.00","0.00"
"0","","","","06/02/2014","","","1591400074","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1591400086","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/04/2014","","","1601400092","25040.79","8376.71","12285.85","0.00","2233.79","2144.44"
"0","","","","06/02/2014","","","1821400052","9310.00","2660.00","5320.00","0.00","1330.00","0.00"
"0","","","","06/02/2014","","","1921400084","4897.15","1865.58","2565.17","466.40","0.00","0.00"
"0","","","","06/02/2014","","","1921400085","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/06/2014","","","1921400090","5075.00","-725.00","5075.00","725.00","0.00","0.00"
"0","","","","06/04/2014","","","1921400100","19894.35","6631.45","11222.45","2040.45","0.00","0.00"
"0","","","","06/05/2014","","","1921400107","12556.25","4593.75","6737.50","1225.00","0.00","0.00"
"0","","","","06/04/2014","","","2501400019","5682.36","-5668.75","7936.25","0.00","2267.50","1147.36"
"0","","","","06/04/2014","","","2541400010","4273.13","854.63","2991.19","0.00","427.31","0.00"
"0","","","","06/06/2014","","","2561400019","18852.24","8640.61","8640.61","0.00","1571.02","0.00"
"0","","","","06/06/2014","","","2561400020","10702.81","2270.29","7135.21","0.00","1297.31","0.00"
"0","","","","06/06/2014","","","2561400022","5307.20","312.19","4370.63","0.00","624.38","0.00"
"0","","","","06/04/2014","","","3061400205","7732.36","2945.66","4050.28","736.42","0.00","0.00"
"0","","","","06/05/2014","","","3071400022","8630.15","3157.37","4630.81","0.00","841.97","0.00"
"0","","","","06/06/2014","","","3211400031","21379.51","7590.00","10626.00","0.00","1518.00","1645.51"
"0","","","","06/03/2014","","","3211400035","10642.00","5634.00","4382.00","0.00","626.00","0.00"
"0","","","","06/03/2014","","","3381400092","10671.03","1042.50","7297.50","1042.50","0.00","1288.53"
"0","","","","06/02/2014","","","3381400094","10518.76","1753.13","7012.50","1753.13","0.00","0.00"
"0","","","","06/06/2014","","","3481400029","9180.60","3755.70","4590.30","834.60","0.00","0.00"
"0","","","","06/06/2014","","","3481400030","0.00","0.00","0.00","0.00","0.00","0.00"
"0","","","","06/03/2014","","","3491400062","726.59","0.00","726.59","0.00","0.00","0.00"
"0","","","","06/04/2014","","","3491400067","8376.73","2154.02","5265.37","0.00","957.34","0.00"
"0","","","","06/04/2014","","","3491400086","3859.38","1389.38","2161.25","0.00","308.75","0.00"
"0","","","","06/05/2014","","","3491400093","5880.00","3192.00","2352.00","0.00","336.00","0.00"
"0","","","","06/06/2014","","","3491400095","4650.25","1268.25","2959.25","0.00","422.75","0.00"
