"Warehouse Bank","Product Type","Loan Number","Loan Amount","Interest Rate","Warehouse Advance"
"BOTSC / 98","CO30 | FIXED","1111300076","224000","4.875","219520"
"BOTSC / 98","CO30 | FIXED","1061300590","118750","4.75","116375"
"BOTSC / 98","CO30 | FIXED","3871300109","157500","4.5","154350"
"BOTSC / 98","CO30 | FIXED","3991300005","189000","4.375","185220"
"BOTSC / 98","CO7/1 | ARM","3661300317","417000","3.625","408660"
"BOTSG / 100","CO30 | FIXED","1061300570","157500","4.625","157500"
"BOTSG / 100","FHA203K | FIXED","3171300146","322394","4.375","312726.50"
"BOTSG / 100","FHA203K | FIXED","1761300045","184550","4.75","179152.67"
"BOTSG / 100","FHA30 | FIXED","3211300081","279837","3.75","268483.63"
"BOTSG / 100","FHA30 | FIXED","3481300124","387845","3.875","376637.09"
"BOTSG / 100","FHA30 | FIXED","1061300503","186558","4.25","179918.64"
"BOTSG / 100","FHA30 | FIXED","3621300304","152192","4.5","146623.22"
"BOTSG / 100","FHA30 | FIXED","3791200193","208160","3.5","200785.98"
"BOTSG / 100","FHA30 | FIXED","1821300192","299475","4.75","292321.24"
"BOTSG / 100","FHA30 | FIXED","6571300085","343660","4.25","335385.31"
"BOTSG / 100","NHFFHA | FIXED","3061300550","113800","4.75","113800"
"BOTSG / 100","USDA30 | FIXED","3171300208","249362","4.125","249362"
"BOTSG / 100","VA30 | FIXED","3031300056","208641","4.25","202975.71"
"CBC / 98","CO15 | FIXED","1051300162","125000","3.75","122500"
"CBC / 98","CO15 | FIXED","1051300165","535000","4.125","524300"
"CBC / 98","CO15 | FIXED","6631300035","70000","3.5","68600"
"CBC / 98","CO20 | FIXED","1921300220","362750","4.5","355495"
"CBC / 98","CO20 | FIXED","1591300207","380000","4.125","372400"
"CBC / 98","CO20 | FIXED","3921300230","210000","4.25","205800"
"CBC / 98","CO30 | FIXED","3621300320","216000","4.375","211680"
"CBC / 98","CO30 | FIXED","3471300065","524800","4.5","514304"
"CBC / 98","CO30 | FIXED","3741300053","400000","4.875","392000"
"CBC / 98","CO30 | FIXED","3661300322","252000","4.5","246960"
"CBC / 98","CO30 | FIXED","3171300220","180400","4.625","176792"
"CBC / 98","CO30 | FIXED","3531300039","416000","5","407680"
"CBC / 98","CO30 | FIXED","1061300555","184000","5.125","180320"
"CBC / 98","CO30 | FIXED","3621300291","304000","5.125","297920"
"CBC / 98","CO30 | FIXED","3171300229","224910","4.25","220411.80"
"CBC / 98","CO30 | FIXED","1761300040","319630","4.625","313237.40"
"CBC / 98","CO30 | FIXED","3811300001","406000","4.5","397880"
"CBC / 98","CO30 | FIXED","1061300580","140000","4.25","137200"
"CBC / 98","CO30 | FIXED","1061300506","311500","4.75","305270"
"CBC / 98","CO30 | FIXED","3921300226","180000","4.75","176400"
"CBC / 98","CO30 | FIXED","3791300323","110000","4.5","107800"
"CBC / 98","CO30 | FIXED","1051300159","154000","4.375","150920"
"CBC / 98","CO30 | FIXED","3491300157","50000","4.75","49000"
"CBC / 98","CO30 | FIXED","3661300174","252000","4.75","246960"
"CBC / 98","CO30 | FIXED","2571300064","143000","5","140140"
"CBC / 98","CO30 | FIXED","3791300316","405000","4.625","396900"
"CBC / 98","CO30 | FIXED","3791300325","200000","4.5","196000"
"CBC / 98","CO30 | FIXED","1401300034","278500","4.5","272930"
"CBC / 98","CO30 | FIXED","3471300063","528400","4.875","517832"
"CBC / 98","CO30 | FIXED","1671300150","303000","4.625","296940"
"CBC / 98","CO30 | FIXED","3621300315","390000","4.875","382200"
"CBC / 98","CO30 | FIXED","6571300077","186000","4.5","182280"
"CBC / 98","CO30 | FIXED","3241300041","456000","4.625","446880"
"CBC / 98","CO30 | FIXED","1591300194","345000","4.375","338100"
"CBC / 98","CO30 | FIXED","2611300015","475000","4.625","465500"
"CBC / 98","CO30 | FIXED","3171300218","307500","5.25","301350"
"CBC / 98","CO30 | FIXED","3681300333","381520","4.625","373889.60"
"CBC / 98","CO30 | FIXED","1061300604","265000","4.375","259700"
"CBC / 98","CO30 | FIXED","3021300131","417000","4.5","408660"
"CBC / 98","CO30 | FIXED","6521300112","75000","4.5","73500"
"CBC / 98","CO30 | FIXED","2591300085","196000","4.375","192080"
"CBC / 98","CO30 | FIXED","1481300488","333000","4.25","326340"
"CBC / 98","CO30 | FIXED","3681300328","396000","4.625","388080"
"CBC / 98","CO30 | FIXED","3211300085","150000","4.625","147000"
"CBC / 98","CO30 | FIXED","3531300045","395000","4.625","387100"
"CBC / 98","CO30 | FIXED","3281300084","115200","4.75","112896"
"CBC / 98","CO30 | FIXED","1481300494","331500","4.375","324870"
