"trade_no","master_cmt_no","cmt_type","cursor_dealer","secur_type","secur_desc","prog_term","end_term","prog_type","investor","trade_date","trade_exp","del_date","cursor_pool_month","tolerance","trade_amt","coupon","price","serv_fee","cmt_no","open_amt","tot_profit","filled","pairoff_date1","pairoff_type1","pairoff_amt1","pairoff_date2","pairoff_type2","pairoff_amt2","pairoff_date3","pairoff_type3","pairoff_amt3","Notes","Fee Notes"
"G1000204","","","FNMA"," GNMA II","","360","360","Fixed","","","","","0","","4500000.00","4.000","106.281250","","","4500000.00","","Error","","","","","","","","","","< William Morrow : 10/01/2015 3:29 PM >3709-10/01/2015",""
"G1000205","","","Southwest"," GNMA II","","360","360","Fixed","","","","","0","","3000000.00","3.500","104.375000","","","3000000.00","","Error","","","","","","","","","","< William Morrow : 10/01/2015 3:29 PM >3910-10/01/2015",""
"G1000206","","","BOK"," FNMA","","360","360","Fixed","","","","","0","","2000000.00","3.500","103.968750","","","2000000.00","","Error","","","","","","","","","","< William Morrow : 10/01/2015 3:30 PM >3911-10/01/2015",""
"G1000207","","","FNMA"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","3.500","104.281250","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 10:45 AM >3912-10/02",""
"G1000208","","","Cantor Fitzgerald"," GNMA II","","360","360","Fixed","","","","","0","","500000.00","3.000","101.953130","","","500000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 1:02 PM >3913-10/02",""
"G1000209","","","Cantor Fitzgerald"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","3.500","104.562500","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 1:03 PM >3914-10/02",""
"G1000210","","","BOK"," FNMA","","360","360","Fixed","","","","","0","","4000000.00","3.500","104.171880","","","4000000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 2:17 PM >3915-10/02",""
"G1000211","","","FNMA"," FNMA","","360","360","Fixed","","","","","0","","1500000.00","4.000","106.437500","","","1500000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 2:44 PM >3916-10/02",""
"G1000212","","","FNMA"," FNMA","","180","180","Fixed","","","","","0","","500000.00","3.000","104.031250","","","500000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 2:54 PM >3918-10/02",""
"G1000213","","","FNMA"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","3.500","104.562500","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/02/2015 2:50 PM >3917-10/02",""
"G1000214","","","FNMA"," GNMA II","","360","360","Fixed","","","","","0","","1500000.00","3.500","104.468750","","","1500000.00","","Error","","","","","","","","","","< Pam Neff : 10/05/2015 10:53 AM >Data Trac # .3919",""
"G1000215","","","Daiwa"," FNMA","","360","360","Fixed","","","","","0","","1000000.00","3.500","104.062500","","","1000000.00","","Error","","","","","","","","","","< Pam Neff : 10/05/2015 10:59 AM >Data Trac 3920",""
"G1000216","","","Southwest"," GNMA II","","360","360","Fixed","","","","","0","","2000000.00","3.500","104.437500","","","2000000.00","","Error","","","","","","","","","","< Marshelle Fernandez : 10/05/2015 12:47 PM >DT#3921",""
"G1000217","","","Southwest"," FNMA","","360","360","Fixed","","","","","0","","1000000.00","4.000","106.312500","","","1000000.00","","Error","","","","","","","","","","< Marshelle Fernandez : 10/05/2015 12:55 PM >DT#3924",""
"G1000218","","","Southwest"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","3.000","101.796880","","","1000000.00","","Error","","","","","","","","","","< Marshelle Fernandez : 10/05/2015 1:02 PM >DT#3925",""
"G1000220","","","BOK"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","4.000","106.250000","","","1000000.00","","Error","","","","","","","","","","< Pam Neff : 10/05/2015 1:29 PM >Data Trac 3922",""
"G1000221","","","FNMA"," FNMA","","360","360","Fixed","","","","","0","","1000000.00","4.000","106.343750","","","1000000.00","","Error","","","","","","","","","","",""
"G1000223","","","FNMA"," FNMA","","360","360","Fixed","","","","","0","","500000.00","4.000","106.531250","","","500000.00","531562.45","Error","10/06/2015","Pair Off","1000000.00","","","","","","","< Pam Neff : 10/05/2015 2:50 PM >data trac 3926"," < William Morrow : 10/06/2015 4:42 PM >loss -1,093.80"
"G1000225","","","FNMA"," FNMA","","360","360","Fixed","","","","","0","","1500000.00","3.500","104.031250","","","1500000.00","","Error","","","","","","","","","","",""
"G1000226","","","BOK"," GNMA II","","360","360","Fixed","","","","","0","","1000000.00","4.000","106.250000","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/07/2015 3:28 PM >3928 10/07",""
"G1000227","","","BOK"," FNMA","","360","360","Fixed","","","","","0","","1000000.00","3.500","104.015630","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/07/2015 3:30 PM >3929 10/07",""
"G1000229","","","FNMA"," FNMA","","360","360","Fixed","","","","","0","","1000000.00","4.000","106.203130","","","1000000.00","","Error","","","","","","","","","","< William Morrow : 10/08/2015 12:43 PM >3930 10/08",""
"G1000230","","","Cantor Fitzgerald"," FNMA","","360","360","Fixed","","","","","0","","2000000.00","3.500","103.859380","","","2000000.00","","Error","","","","","","","","","","< William Morrow : 10/08/2015 3:46 PM >3931 10/08",""
