"trade_no","master_cmt_no","cmt_type","cursor_dealer","secur_type","secur_desc","prog_term","end_term","prog_type","investor","trade_date","trade_exp","del_date","cursor_pool_month","tolerance","trade_amt","coupon","price","serv_fee","cmt_no","open_amt","tot_profit","filled","pairoff_date1","FeeAmount1","Profit1","pairoff_date2","FeeAmount2","Profit2","pairoff_date3","FeeAmount3","Profit3","pairoff_amt3","Notes","Fee Notes"
"G1000098","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/13/2015","","11/12/2015","0","","1000000.00","4.000","105.625000","","","0.00","-5781.300000","Filled","11/04/2015","1062031.30","-5781.300000","","","0.000000","","","0.000000","","< William Morrow : 8/13/2015 4:49 PM >3827 as of 08/13",""
"G1000099","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","08/14/2015","","11/12/2015","0","","1000000.00","3.500","102.859380","","","0.00","-12187.500000","Filled","11/02/2015","1040781.30","-12187.500000","","","0.000000","","","0.000000","","< William Morrow : 8/14/2015 3:15 PM >3828 as of 08/14",""
"G1000108","","","SOUTHWEST SECURITIES"," FNMA","","360","360","Fixed","","08/18/2015","","11/12/2015","0","","1000000.00","3.500","102.906250","","","0.00","-11718.800000","Filled","11/02/2015","1040781.30","-11718.800000","","","0.000000","","","0.000000","","< Pam Neff : 8/18/2015 12:38 PM >DataTrac trade number is 3832 ",""
"G1000114","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","08/19/2015","","11/19/2015","0","","2000000.00","3.500","103.781250","","","0.00","-21250.000000","Filled","11/02/2015","2096875.00","-21250.000000","","","0.000000","","","0.000000","","< William Morrow : 8/19/2015 4:30 PM >3835 as of 08/19",""
"G1000126","","","COASTAL SECURITIES"," GNMA II","","360","360","Fixed","","08/25/2015","","11/19/2015","0","","1000000.00","3.500","103.648437","","","0.00","-10546.930000","Filled","11/03/2015","1047031.30","-10546.930000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:53 AM >3847 08/25",""
"G1000145","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/02/2015","","11/19/2015","0","","2000000.00","3.500","103.671880","","","0.00","-23437.400000","Filled","11/02/2015","2096875.00","-23437.400000","","","0.000000","","","0.000000","","< William Morrow : 9/02/2015 12:56 PM >3857 as of 09/02",""
"G1000176","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/15/2015","","11/19/2015","0","","1000000.00","3.000","100.593750","","","0.00","-10312.500000","Filled","11/06/2015","1016250.00","-10312.500000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:41 PM >3884 as of 09/15"," < Renee Alvarez : 11/06/2015 12:22 PM >-10,312.50"
"G1000181","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/15/2015","","11/19/2015","0","","2000000.00","3.500","103.390630","","","0.00","-23125.000000","Filled","11/04/2015","2090937.60","-23125.000000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:56 PM >3889 as of 09/15",""
"G1000182","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/16/2015","","11/19/2015","0","","1500000.00","4.000","105.703130","","","0.00","-7265.550000","Filled","11/04/2015","1592812.50","-7265.550000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/16/2015 8:20 AM >Datatrac#3890",""
"G1000183","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/17/2015","","12/10/2015","0","","1000000.00","3.500","103.468750","","","0.00","156.200000","Filled","11/04/2015","1034531.30","156.200000","","","0.000000","","","0.000000","","< William Morrow : 9/17/2015 4:46 PM >3891 as of ",""
"G1000185","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","09/18/2015","","12/17/2015","0","","3500000.00","3.500","104.125000","","","0.00","-9765.750000","Filled","11/30/2015","1042812.50","-1562.500000","11/30/2015","2611328.25","-8203.250000","","","0.000000","","< Renee Alvarez : 9/18/2015 5:40 PM >trade # 3892 9-18-15"," < William Morrow : 11/30/2015 10:51 AM >Partial. Leaves 2.5M open."
"G1000187","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/21/2015","","12/10/2015","0","","2500000.00","3.500","103.375000","","","0.00","8984.350000","Filled","11/09/2015","2057500.00","10000.000000","11/30/2015","517890.65","-1015.650000","","","0.000000","","< Marshelle Fernandez : 9/21/2015 12:53 PM >Datatrac#3895"," < William Morrow : 11/09/2015 11:03 AM >partial, leaves 500K"
"G1000190","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/21/2015","","12/10/2015","0","","1500000.00","3.500","103.296880","","","0.00","-4218.750000","Filled","11/30/2015","1553671.95","-4218.750000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/21/2015 4:39 PM >DATATRAC 3897",""
"G1000193","","","COASTAL SECURITIES"," FNMA","","360","360","Fixed","","09/23/2015","","12/10/2015","0","","1000000.00","3.500","103.445310","","","0.00","-781.300000","Filled","11/05/2015","1035234.40","-781.300000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/23/2015 2:44 PM >Datatrac # 3899",""
